Gene_name,Com_Genes_No
KIAA0586,2961
RETSAT,2961
CHD1L,2962
FUT2,2961
ANGPT2,2963
OPLAH,2961
OR6P1,2960
STAT3,2960
FMNL3,2961
ABCC1,2960
ASF1A,2960
BAG4,2960
MMP27,2960
FBXL16,2960
APPL1,2960
LRP11,2960
TECPR1,2961
HFM1,2961
NEK6,2960
C9orf72,2958
SLC17A2,2961
CYB5D2,2960
MOSPD3,2959
PCDH10,2961
ENSG00000282804,2960
WWC3,2959
ARHGAP17,2961
SAC3D1,2962
MBLAC1,2960
TBC1D9,2962
COX19,2959
SLC9C1,2960
SPTLC1,2961
TRH,2961
SLC35G6,2960
TNRC6C,2961
NOP9,2961
GALE,2960
DEFB119,2960
UBE2V1,2959
UGT2A1,2960
TP53INP2,2960
ENSG00000255054,2961
DUSP16,2961
GOLGA8H,2962
PCDHGA1,2958
ZNF628,2961
TRBV4-1,2960
TRIM8,2958
DOK3,2959
NLRP4,2960
NTN3,2961
IFITM2,2961
IPP,2960
RASSF5,2960
WNT7A,2961
NUDT3,2958
OR8S1,2961
LAPTM4A,2961
TNFSF13B,2960
CLRN2,2961
GNL3,2961
RAB11FIP5,2961
MOGS,2959
CDK7,2960
DAAM2,2961
UFSP2,2962
KRTAP4-1,2960
MTUS2,2958
EDN1,2960
DMRTA2,2961
XKR5,2958
OR2M7,2959
AICDA,2960
CD274,2960
RANBP2,2961
IGHV4-59,2959
LSMEM2,2960
SENP1,2959
MOK,2961
ZIC3,2961
KRTAP5-9,2959
POMT2,2961
FOXA2,2960
NELFE,2961
LSM11,2961
ENSG00000273154,2960
ITGB1,2959
RFX2,2962
IRS4,2959
RSF1,2961
OR52M1,2959
ZNF768,2959
ATP5F1E,2960
BACH1,2958
DLAT,2960
IL4,2957
PPP1R14A,2959
UTP4,2960
TMX4,2961
TLCD4-RWDD3,2959
CCDC42,2961
OR4P4,2960
ENSG00000258728,2960
FAIM2,2961
VCX3B,2961
CD300H,2960
TNP2,2959
PITRM1,2960
ENSG00000204422,2959
DPF3,2964
PREP,2962
THSD7A,2959
PROSER3,2960
FOXK2,2960
PPP2R2D,2959
THOC2,2960
ACAT2,2960
MCTS1,2962
CEACAM16,2960
OTUD1,2961
TEP1,2959
SPAAR,2961
IRF2BPL,2959
SF3B2,2961
TBC1D21,2961
HMGB4,2959
SPG21,2961
CASD1,2959
R3HDM1,2962
KMT2C,2961
ARMC5,2962
SYT13,2961
ZC3H11B,2962
RSPH10B,2961
C9orf40,2961
SLC24A5,2961
POU2F3,2962
SHISA6,2961
DUOXA2,2961
IL15,2958
STIMATE,2959
HSD3B7,2959
LMO7,2961
PCDH1,2961
TRDJ2,2959
FAM9B,2959
DCUN1D3,2960
NPHP3-ACAD11,2960
PDXDC1,2961
DUX4,2959
KIF23,2960
SNPH,2960
IFI44L,2960
TACR3,2959
PSME1,2961
VIPAS39,2960
ENSG00000267561,2960
FKBP8,2960
SLC5A6,2961
PPP1R11,2960
MEA1,2959
RPL13A,2960
DZIP1,2958
ANKRD22,2960
NNMT,2960
MCF2L,2960
CLCNKA,2959
TMSB15A,2959
UBE2U,2961
TWIST1,2960
DYNLL1,2962
CEP170,2960
KRTAP13-3,2961
AMACR,2959
ADAMTS19,2961
LRRC8E,2960
KIAA1755,2961
CYLC1,2960
HSPA4,2961
WRN,2962
NVL,2963
GNAT2,2960
OR6C65,2960
CHRNA4,2960
ILF3,2961
ZNF311,2960
RFLNB,2960
APOA5,2959
PRR23C,2961
FKBP1A,2959
STARD10,2961
FOXC2,2961
KLK8,2960
WWTR1,2960
IGHV4-31,2960
TRAJ53,2961
ADCY6,2960
PRAMEF13,2960
TRIM26,2961
OR10K1,2961
MUC22,2960
TMEM198,2960
ZNF91,2960
POLR2J,2961
TMX3,2963
THRA,2960
NUTM2E,2959
TCN1,2961
CCR8,2960
RAB11FIP2,2960
CEP128,2962
NTC,2959
CAP2,2963
SRSF4,2961
PRDX3,2961
PTPRN2,2962
SMPD4,2961
FOXI2,2961
CYP8B1,2963
FAM149A,2961
ELL,2961
ZNF845,2962
KLHL4,2961
TGIF2-RAB5IF,2960
IGKV4-1,2960
PIGW,2960
ZNF546,2962
CPSF1,2960
OR8H1,2959
ARHGEF1,2960
UBAC1,2962
OSBPL2,2960
RTCA,2960
ZKSCAN4,2960
CFAP410,2960
SIX3,2960
C8orf76,2960
NCKAP5,2960
ENSG00000261611,2961
NOL10,2960
C10orf62,2960
TMEM199,2961
WWOX,2958
NME2,2961
F5,2961
CLDN2,2961
ENSG00000254706,2959
TSGA10,2962
AKR7L,2962
NISCH,2961
EPN3,2960
CLIP2,2960
FCRL5,2961
ZBTB24,2960
ZNF496,2959
GNAT1,2961
NDUFS7,2960
SUSD1,2959
HLA-DMA,2961
TPBG,2962
MNT,2959
HLF,2961
METTL3,2960
CHKB,2960
TBC1D3B,2961
STX7,2961
RGPD1,2960
MAP1LC3A,2961
WBP4,2960
ARL6IP6,2960
ERICH5,2961
PIM1,2959
RPAP1,2959
SECISBP2,2960
ELK1,2960
USH1G,2961
MMP24,2961
POP5,2961
TRBJ1-5,2959
KLHL10,2961
GABRB3,2960
THAP2,2959
GCM1,2959
CEP295,2958
MAP6D1,2961
RALGAPA2,2959
NDUFS6,2961
TRAV13-2,2961
TIMP3,2962
OR5AS1,2960
PEX5L,2960
CNTNAP1,2961
ENSG00000249141,2960
MAGEA12,2958
SSH1,2961
PGPEP1,2960
NCOA6,2960
PDE4B,2959
ORAI2,2960
GDNF,2961
HK2,2960
IGHV5-51,2959
METTL24,2961
KRT76,2960
RBM14,2960
BTG3,2960
GBX1,2961
RNF20,2961
PML,2958
TNNI3,2962
PRLHR,2959
ARHGAP12,2960
MAGEA10,2960
MPHOSPH6,2960
IL22RA2,2961
POTEC,2962
UBQLN2,2960
POLD1,2961
ETV3,2961
FGG,2961
CPXCR1,2960
CDC123,2961
POU4F1,2961
TSSK4,2961
MARVELD3,2961
ZNF586,2960
ZNF750,2959
B3GNTL1,2960
ZNF625,2960
TTC3,2959
GGT5,2958
SIM1,2959
TSPAN7,2961
FAM160A1,2961
PHC3,2960
TMEM97,2961
RPS3A,2960
AK7,2961
CALM2,2961
THEMIS2,2960
LMAN1,2961
KIAA0232,2960
SYCE2,2958
FSCN2,2960
ENSG00000267385,2959
DLL1,2962
STARD5,2961
TSPAN1,2960
C19orf12,2959
SUPT16H,2961
FOXO1,2961
TMSB10,2959
TUNAR,2961
RPS27,2960
KIAA1191,2960
UBA7,2959
OR10A6,2960
COL9A3,2962
NR0B1,2961
TIFAB,2961
TRPM8,2960
KAT5,2959
VMP1,2960
TRBJ2-5,2961
HS1BP3,2960
DPYSL5,2959
TTYH2,2961
TRIM74,2960
MARK3,2961
PCDH7,2960
NBPF11,2961
C14orf93,2961
NUDT19,2960
VIL1,2961
KCNMB4,2961
CNTNAP3B,2960
RTL3,2961
ZNF814,2960
ADAP1,2960
PCNX3,2959
ETV2,2961
MDM2,2961
GSC2,2960
INTS10,2959
CDC20,2959
CREBZF,2959
TRBV7-7,2960
FAT4,2960
OR13C9,2960
IGLV8-61,2961
C6orf141,2961
TMEM25,2960
CCND1,2960
CACNG4,2961
CRYBB1,2960
SLC39A14,2960
POMGNT1,2962
PRPF6,2961
SHISAL2B,2962
TTF2,2960
TEKT5,2960
HELT,2958
MRAP2,2960
APH1B,2961
PDCD1,2960
CDCA7,2960
STMN2,2961
ZDHHC11,2962
RNF13,2959
CCNA2,2960
CCN2,2960
TAF5L,2962
AKTIP,2962
PRKCB,2960
THBS4,2960
AKR1B1,2961
METTL1,2960
C2orf68,2960
GDPD1,2961
GLIS1,2961
EPB41L2,2961
B4GALT4,2962
C11orf16,2961
PWWP2A,2958
MRTO4,2960
SLC10A6,2961
SEL1L,2961
CPO,2959
PTPN18,2961
DCTN1,2961
C1orf50,2958
